Sample ID,Sample Name
Mo_2017_DOM_242,SPIFFy_19_B
Mo_2017_DOM_243,SPIFFy_20_A
Mo_2017_DOM_244,SPIFFy_20_B
Mo_2017_DOM_245,SPIFFy_Blank
Mo_2017_DOM_246,LoRDI_1
Mo_2017_DOM_247,LoRDI_2
Mo_2017_DOM_248,LoRDI_3
Mo_2017_DOM_249,LoRDI_4
Mo_2017_DOM_250,LoRDI_5
Mo_2017_DOM_251,LoRDI_6
Mo_2017_DOM_252,LoRDI_7
Mo_2017_DOM_253,LoRDI_8
Mo_2017_DOM_254,LoRDI_9
Mo_2017_DOM_255,LoRDI_10
Mo_2017_DOM_256,LoRDI_11
Mo_2017_DOM_257,LoRDI_12
Mo_2017_DOM_258,LoRDI_13
Mo_2017_DOM_259,LoRDI_14
Mo_2017_DOM_260,LoRDI_15
Mo_2017_DOM_261,SE_AQ_NO_TF
Mo_2017_DOM_262,SE_AQ_SR_TF
Mo_2017_DOM_263,SE_AQ_LR_TF
Mo_2017_DOM_264,SE_DL_NO_TF
Mo_2017_DOM_265,SE_DL_SR_TF
Mo_2017_DOM_266,SE_DL_LR_TF
Mo_2017_DOM_267,SE_DH_NO_TF
Mo_2017_DOM_268,SE_DH_SR_TF
Mo_2017_DOM_269,SE_DH_LR_TF
Mo_2017_DOM_270,SE_AH_NO_TF
Mo_2017_DOM_271,SR_AH_SR_TF
Mo_2017_DOM_272,SE_AH_LR_TF
Mo_2017_DOM_273,R_WA_1_T0D
Mo_2017_DOM_274,R_WA_2_T0D
Mo_2017_DOM_275,R_WA_3_T0D
Mo_2017_DOM_276,R_WA_1_TFD
Mo_2017_DOM_277,R_WA_2_TFD
Mo_2017_DOM_278,R_WA_3_TFD
Mo_2017_DOM_279,R_PL_1_TFD
Mo_2017_DOM_280,R_PL_2_TFD
Mo_2017_DOM_281,R_PL_3_TFD
Mo_2017_DOM_282,R_DT_1_TFD
Mo_2017_DOM_283,R_DT_2_TFD
Mo_2017_DOM_284,R_DT_3_TFD
Mo_2017_DOM_285,R_CC_1_TFD
Mo_2017_DOM_286,R_CC_2_TFD
Mo_2017_DOM_287,R_CC_3_TFD
Mo_2017_DOM_288,R_PV_1_TFD
Mo_2017_DOM_289,R_PV_2_TFD
